No,Content,Title,Price,Picture
355915284524115_2152214521560840,創意定制相框燈/產品尺寸:19x2x23cm相架材質:木頭線材:1.5米 按制開關電壓:110V-260V電源:USB電源注意:燈是需要有電源才會亮起的！/只需要提供照片和背景，2-4天時間繪畫然後會給客人看，設計師會與客人溝通。客人可以在下單前可以先發照片詢問我們❤。/以下價錢是雙人價錢三人或以上請先向我們查詢繪畫背景需加HK$10 如有任何疑問歡迎向我們查詢-客製化 線條Q版人像繪畫LED相框燈$500whatsapp:55109214#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業禮物 #畢業,260V電源:USB電源注意:燈是需要有電源才會亮起的！/只需要提供照片和背景，2-4天時間繪畫然後會給客人看，設計師會與客人溝通。客人可以在下單前可以先發照片詢問我們❤。/以下價錢是雙人價錢三人或以上請先向我們查詢繪畫背景需加HK,10,https://scontent.fhkg1-1.fna.fbcdn.net/v/t1.6435-9/53046578_2152214528227506_4367692856236703744_n.jpg?stp=dst-jpg_p720x720&_nc_cat=109&ccb=1-7&_nc_sid=9267fe&_nc_ohc=PPsOFD1SY0UAX_PWDD-&_nc_oc=AQnwdVT5tm0ADcTYJIlaJq0m1CckZVzp7xZa_XNgFJ-A7crAoCC1IGIXdx7gzFLC7ws&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfAdCvlY0zUIbhV5TBVCs5gRBUiBingbhUtgIm4FlZf80A&oe=64CC90E9
355915284524115_3327094200739527,三十天的精彩人生! 現代人總是帶著快速的步伐跑跳著，時常忘了生活中那些平凡卻重要的小事，從今天起，開始改變生活吧!快打開潘朵拉的小盒子，找尋每日任務，足足三十天的挑戰，讓你重新體驗這些美好的時刻。-商品規格品名：DOIY健康三十天尺寸：9 x 9 x 9 cm內容：1 便條材質：Paper※此系列商品語言為英文。-顏色略有偏差，以實品顏色為準。More information: The color of real products will be slightly different form the website through your monitor.產地/製造方式西班牙設計-款式：幸福的人｜健身生活｜慢生活｜攝影進階｜女生主意｜美食｜愉伽HK$ 110 一盒Whatsapp: 55109214-#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #人面獸心拖鞋 #s2s文具,商品規格品名：DOIY健康三十天尺寸：9 x 9 x 9 cm內容：1 便條材質：Paper※此系列商品語言為英文。-顏色略有偏差，以實品顏色為準。More information: The color of real products will be slightly different form the website through your monitor.產地/製造方式西班牙設計-款式：幸福的人｜健身生活｜慢生活｜攝影進階｜女生主意｜美食｜愉伽HK,11,https://scontent.fhkg1-1.fna.fbcdn.net/v/t1.6435-9/118824552_3327094154072865_5301766467969314790_n.jpg?stp=dst-jpg_p720x720&_nc_cat=100&ccb=1-7&_nc_sid=a26aad&_nc_ohc=W3ck8nwWaGoAX_uEyb9&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfDHrSXYLroysXPLecUOr7Ly5KecNlpzpjYjznhUvjSTsw&oe=64CCACD9
355915284524115_5219159241533004,又有客人既實物圖啦🐱🐱🐱🐱🐱睇黎貓奴真係好愛主人  訂成2隻咁多所有寵物都可以印製成抱枕  大頭同全身都得-🌟寵物抱枕🌟 (全身 / 大頭) 30cm｜180元40cm｜240元50cm｜280元60cm｜360元*雙面+$25*Whatsapp 55109214#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業禮物 #畢業 #s2s訂製,🌟寵物抱枕🌟 (全身 / 大頭) 30cm｜180元40cm｜240元50cm｜280元60cm｜360元*雙面+,25,https://scontent.fhkg1-1.fna.fbcdn.net/v/t39.30808-6/284144601_5219159181533010_942914066854070585_n.jpg?stp=dst-jpg_p720x720&_nc_cat=100&ccb=1-7&_nc_sid=a26aad&_nc_ohc=vmPGe2b2nekAX-xSom6&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfAF2hEov3-y0CKygm_s3BJ2dQDWHBJsKpfjYRu3z4XL4g&oe=64A99102
355915284524115_2298101190305505,畢業點可以自己一個孤零零獨樂樂不如眾樂樂搵埋全世界最孤零零既pepe一齊陪你孤零零啦#臨別要在這間愉快的班房起舞 #記得當天一起唱着告別校園時 #這校園這班房這走廊這禮堂 #在這好時刻分離不要流眼淚#依加畢業係咪仲係唱呢啲歌.畢業PEPE公仔- 身長45 CM- 四肢有鐵絲，可自行調整動作- 附畢業袍、畢業帽、畢業證書- 畢業袍可轉色帶- 袍上繡字: (每行HKD $30，最多2行，每行最多18個英文字母或10個中文字連空白格計算)$380Whatsapp 55109214#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業禮物 #畢業 #畢業公仔,身長45 CM- 四肢有鐵絲，可自行調整動作- 附畢業袍、畢業帽、畢業證書- 畢業袍可轉色帶- 袍上繡字: (每行HKD,30,https://scontent.fhkg1-1.fna.fbcdn.net/v/t1.6435-9/61413286_2298101193638838_6825442798511063040_n.jpg?stp=dst-jpg_p720x720&_nc_cat=110&ccb=1-7&_nc_sid=9267fe&_nc_ohc=Q-YkXLnH2aoAX9dN7Wu&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfDPHS_63NTJrJZrSXjIauC3f-OENVUHeG1vZqnqw6TyzA&oe=64CC7E31
355915284524115_3396710663777880,"有時毒L朋友唔敢同女神表白可以考慮送個死人頭（無邊版）比佢丫～令佢可以日日攬住女神個頭，而後面就可以自戀一番-Some2some訂製為你提供一個舒適的家, 總之Send一張圖比我地～一會兒就可以收到你心愛既訂製架啦.訂製番個可愛人頭番屋企啦！你又可以帶番公司帶番學時時刻刻望住佢係咪過癮先.訂製死人頭（無邊版）.各種尺寸30cm｜200元40cm｜260元50cm｜300元60cm｜380元.雙面加$30元.Whatsapp:55109214#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業禮物 #畢業 #s2s訂製","Some2some訂製為你提供一個舒適的家, 總之Send一張圖比我地～一會兒就可以收到你心愛既訂製架啦.訂製番個可愛人頭番屋企啦！你又可以帶番公司帶番學時時刻刻望住佢係咪過癮先.訂製死人頭（無邊版）.各種尺寸30cm｜200元40cm｜260元50cm｜300元60cm｜380元.雙面加",30,https://scontent.fhkg1-1.fna.fbcdn.net/v/t1.6435-9/120040564_3396710590444554_2494683537960884552_n.jpg?stp=dst-jpg_p720x720&_nc_cat=106&ccb=1-7&_nc_sid=a26aad&_nc_ohc=9djxF8U5yasAX-Fpz1X&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfCcedpjLG5KepeWFfNqfFg78z9SbUb22IxXqyLhl3Rwrg&oe=64CCB03D
355915284524115_5207204282728500,畢業畢得你咁巴閉畢業花、畢業公仔花就收得多啦貼埋朋友個衰樣就最有誠意啦-真人畢業公仔- 身長45 CM- 附畢業袍、畢業帽、畢業證書- 畢業袍可免費轉色帶(雙色帶需另外收費，詳情wts查詢）- 袍上繡字: (每行HKD $30，最多2行，每行最多18個英文字母或10個中文字連空白格計算)$420Whatsapp 55109214訂製時間：7－10個工作天#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #訂造 #pnd旺角 #ig禮物 #畢業禮物 #畢業 #畢業公仔 #s2s畢業 #s2s訂製,真人畢業公仔- 身長45 CM- 附畢業袍、畢業帽、畢業證書- 畢業袍可免費轉色帶(雙色帶需另外收費，詳情wts查詢）- 袍上繡字: (每行HKD,30,https://scontent.fhkg1-1.fna.fbcdn.net/v/t39.30808-6/284261284_5207204246061837_6217376011359037697_n.jpg?stp=dst-jpg_p720x720&_nc_cat=105&ccb=1-7&_nc_sid=a26aad&_nc_ohc=Aa12cVM8QG0AX_oNbXW&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfBWl3vVXZLWSJlejGwzrbnFDLioRG9DYcNRThhMubGK-w&oe=64AA41D3
355915284524115_2294726377309653,歐美超美在疲憊的夜晚，您還可以聞到金字塔形的草本香氣加入了100% 植物冰花醋和香薰油送禮一流-歐美錐形香薰蠟燭(左圖之正方底坐需要另加$35購買）黑/灰$130Whatsapp:55109214#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業禮物 #畢業,歐美錐形香薰蠟燭(左圖之正方底坐需要另加,35,https://scontent.fhkg1-1.fna.fbcdn.net/v/t1.6435-9/61219904_2294726383976319_1272940294064570368_n.jpg?stp=dst-jpg_p720x720&_nc_cat=104&ccb=1-7&_nc_sid=9267fe&_nc_ohc=jpjXLOW0shcAX_V9qck&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfBNmVxLc0i4IKbMKrNEOG7darzE-iAt2P9Zoa9A2zWCgg&oe=64CC86E4
355915284524115_626891562778738,出嚟啦，比卡超！係暴龍機呀細細個嘅回憶不過呢個只係一個扭蛋並唔係真係可以玩㗎🤣🤣-暴龍機扭蛋 $35／一個｜$60／2個顏色：藍／紅／綠／黑／啡（白色缺貨）whatsapp:55109214-#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #創新 #有趣 #生日禮物 #生日 #禮物 #birthday #gift #拍拖 #情侶 #週年 #月亮燈 #驚喜 #diy #手工 #handmad #手作 #食人花 #訂造 #手機殼 #iphonecase #s2s扭蛋,暴龍機扭蛋,35,https://scontent.fhkg1-1.fna.fbcdn.net/v/t39.30808-6/326330208_726733158770256_6785939220959081547_n.jpg?stp=dst-jpg_p720x720&_nc_cat=105&ccb=1-7&_nc_sid=730e14&_nc_ohc=RasWg6lQ4PoAX9e63Ir&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfCdh2eQeq0RHwFYZBAws7-N_2falAQtCVsd6xmokdHFpA&oe=64A9FDCE
355915284524115_2740588109390142,仲有兩個星期就到新年啦第一時間諗起D咩? 緊係逗利是但係逗利是之前都要執令屋企先有人會上黎拜年，揮春貼花就唔少得-福蛙到新年貼尺寸: 28cm $4045cm $5558cm $65Whatsapp 55109214 #hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物  #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #人面獸心小掛件 #s2ssadfrog #s2spepe,福蛙到新年貼尺寸: 28cm,40,https://scontent.fhkg1-1.fna.fbcdn.net/v/t1.6435-9/81976771_2740588112723475_5485356050892718080_n.jpg?stp=dst-jpg_p720x720&_nc_cat=109&ccb=1-7&_nc_sid=9267fe&_nc_ohc=6-4QQyYc8UsAX93JizI&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfBPkg58tpmrHYMe4udsjU6-h-ixD3Q5kz6gViBpzZxrMw&oe=64CC8A99
355915284524115_3608974832551461,倒數仲有兩個禮拜就聖誕節啦🎄未知今年可唔可以約一大班朋友見面慶祝但相信都有真心又難聽嘅祝福野想講嘅一張真心聽聖誕卡幫到你🌚-真心難聽手繪聖誕卡✔️港產片主題✔️一套四張雙面不同印刷✔️附四個信封✔️尺寸: 10cm × 10cm-$45Whatsapp: 55109214-#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #創新 #有趣 #生日禮物 #生日 #禮物 #birthday #gift #拍拖 #情侶 #週年 #月亮燈 #驚喜 #diy #手工 #handmade #手作 #食人花 #s2s文具,真心難聽手繪聖誕卡✔️港產片主題✔️一套四張雙面不同印刷✔️附四個信封✔️尺寸: 10cm × 10cm-,45,https://scontent.fhkg1-1.fna.fbcdn.net/v/t1.6435-9/131166437_3608974652551479_1877636350365345079_n.jpg?stp=dst-jpg_p720x720&_nc_cat=102&ccb=1-7&_nc_sid=a26aad&_nc_ohc=C3-ORSugR88AX9PgoMu&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfAcl-fmRE3b3f_BXMB1J6ocMc780GRtOerL5n-BSgj1Ig&oe=64CC86F8
